iter	Passed	Remaining
0	149	149114
1	150	74886
2	150	50116
3	151	37727
4	152	30312
5	153	25349
6	153	21805
7	154	19140
8	155	17069
9	155	15413
10	156	14051
11	156	12917
12	157	11956
13	158	11134
14	158	10420
15	159	9801
16	160	9254
17	160	8762
18	161	8323
19	161	7932
20	162	7578
21	163	7275
22	164	6979
23	164	6704
24	165	6452
25	166	6219
26	166	6004
27	167	5803
28	167	5617
29	168	5444
30	168	5281
31	169	5129
32	170	4985
33	170	4851
34	171	4723
35	171	4603
36	172	4490
37	173	4385
38	173	4287
39	174	4190
40	175	4096
41	175	4010
42	176	3926
43	177	3846
44	177	3769
45	178	3695
46	178	3624
47	179	3557
48	179	3492
49	180	3430
50	181	3371
51	181	3313
52	182	3258
53	182	3205
54	183	3153
55	184	3104
56	184	3056
57	185	3010
58	185	2966
59	186	2923
60	187	2882
61	187	2843
62	188	2807
63	189	2770
64	190	2734
65	190	2700
66	191	2667
67	192	2635
68	193	2604
69	193	2573
70	194	2543
71	195	2514
72	195	2486
73	196	2459
74	197	2430
75	197	2403
76	198	2376
77	198	2350
78	199	2324
79	199	2299
80	200	2275
81	201	2251
82	201	2226
83	202	2206
84	203	2187
85	203	2166
86	204	2145
87	204	2124
88	205	2104
89	206	2084
90	206	2065
91	207	2046
92	207	2027
93	208	2009
94	209	1992
95	209	1974
96	210	1957
97	210	1940
98	211	1924
99	212	1908
100	212	1892
101	213	1876
102	213	1861
103	214	1846
104	214	1832
105	215	1817
106	216	1804
107	216	1792
108	217	1780
109	218	1767
110	219	1755
111	219	1743
112	220	1731
113	221	1718
114	221	1706
115	222	1694
116	222	1681
117	223	1670
118	224	1658
119	224	1646
120	225	1635
121	225	1623
122	226	1613
123	226	1602
124	227	1592
125	228	1581
126	228	1570
127	229	1560
128	229	1551
129	230	1541
130	230	1531
131	231	1523
132	232	1514
133	232	1505
134	233	1496
135	234	1487
136	234	1478
137	235	1469
138	235	1461
139	236	1452
140	237	1443
141	237	1434
142	238	1426
143	238	1418
144	239	1410
145	239	1402
146	240	1395
147	241	1387
148	241	1379
149	242	1372
150	242	1364
151	243	1357
152	243	1350
153	244	1343
154	245	1336
155	245	1329
156	246	1323
157	247	1316
158	247	1310
159	248	1303
160	248	1296
161	249	1289
162	249	1283
163	250	1276
164	251	1270
165	251	1264
166	252	1258
167	252	1251
168	253	1245
169	253	1239
170	254	1234
171	255	1228
172	255	1222
173	256	1216
174	256	1211
175	257	1205
176	258	1200
177	258	1194
178	259	1189
179	259	1183
180	260	1179
181	261	1174
182	261	1169
183	262	1164
184	263	1159
185	263	1154
186	264	1149
187	264	1144
188	265	1139
189	266	1134
190	266	1129
191	267	1124
192	267	1119
193	268	1115
194	268	1110
195	269	1105
196	270	1101
197	270	1097
198	271	1093
199	272	1088
200	272	1084
201	273	1079
202	273	1075
203	274	1070
204	275	1067
205	275	1063
206	276	1059
207	277	1055
208	277	1050
209	278	1046
210	279	1043
211	279	1039
212	280	1035
213	280	1031
214	281	1027
215	282	1023
216	282	1019
217	283	1016
218	283	1012
219	284	1008
220	285	1004
221	285	1001
222	286	997
223	286	993
224	287	989
225	287	986
226	288	982
227	289	978
228	289	975
229	290	972
230	291	969
231	291	965
232	292	962
233	292	958
234	293	955
235	294	952
236	294	948
237	295	945
238	295	941
239	296	938
240	296	935
241	297	931
242	298	928
243	298	925
244	299	922
245	299	919
246	300	915
247	301	912
248	301	909
249	302	906
250	302	903
251	303	900
252	303	897
253	304	894
254	305	892
255	306	889
256	306	886
257	307	883
258	307	880
259	308	877
260	308	874
261	309	871
262	310	869
263	310	866
264	311	863
265	311	860
266	312	857
267	313	855
268	313	852
269	314	849
270	314	846
271	315	844
272	316	841
273	316	838
274	317	836
275	317	833
276	318	830
277	318	828
278	319	826
279	320	823
280	320	821
281	321	818
282	322	816
283	322	813
284	323	811
285	323	808
286	324	806
287	325	803
288	325	801
289	326	799
290	327	796
291	327	794
292	328	792
293	329	790
294	329	787
295	330	785
296	330	783
297	331	781
298	332	778
299	332	776
300	333	774
301	334	772
302	334	770
303	335	767
304	335	765
305	336	763
306	337	761
307	337	758
308	338	756
309	338	754
310	339	752
311	340	749
312	340	747
313	341	745
314	341	743
315	342	741
316	343	739
317	343	736
318	344	734
319	344	732
320	345	730
321	345	728
322	346	726
323	347	724
324	347	722
325	348	720
326	349	718
327	349	716
328	350	714
329	350	712
330	351	710
331	352	708
332	352	706
333	353	704
334	353	702
335	354	700
336	354	698
337	355	696
338	356	694
339	356	692
340	357	690
341	357	688
342	358	686
343	359	684
344	359	682
345	360	680
346	360	678
347	361	677
348	361	675
349	362	673
350	363	671
351	363	670
352	364	668
353	365	666
354	365	664
355	366	662
356	366	660
357	367	659
358	368	657
359	368	655
360	369	654
361	370	652
362	370	650
363	371	648
364	371	646
365	372	645
366	373	643
367	373	641
368	374	639
369	374	638
370	375	636
371	375	634
372	376	632
373	377	631
374	377	629
375	378	628
376	379	626
377	379	624
378	380	623
379	380	621
380	381	619
381	382	618
382	382	616
383	383	615
384	384	614
385	385	612
386	385	610
387	386	609
388	386	607
389	387	606
390	388	604
391	389	603
392	389	602
393	390	600
394	391	599
395	391	597
396	392	596
397	393	594
398	393	593
399	394	591
400	395	590
401	395	588
402	397	588
403	397	587
404	398	585
405	399	584
406	399	582
407	400	580
408	400	579
409	401	577
410	402	576
411	402	574
412	403	573
413	403	571
414	404	570
415	405	568
416	405	567
417	406	565
418	406	564
419	407	562
420	408	561
421	408	559
422	409	558
423	409	556
424	410	555
425	411	554
426	411	552
427	412	551
428	412	549
429	413	548
430	414	546
431	414	545
432	415	543
433	415	542
434	416	540
435	417	539
436	417	538
437	418	536
438	418	535
439	419	533
440	419	532
441	420	530
442	421	529
443	421	528
444	422	526
445	423	525
446	423	524
447	424	522
448	424	521
449	425	519
450	425	518
451	426	517
452	427	515
453	427	514
454	428	513
455	428	511
456	429	510
457	430	508
458	430	507
459	431	506
460	431	504
461	432	503
462	432	502
463	433	500
464	434	499
465	434	498
466	435	496
467	435	495
468	436	494
469	437	493
470	437	491
471	438	490
472	439	489
473	439	487
474	440	486
475	440	485
476	441	483
477	441	482
478	442	481
479	443	480
480	443	478
481	444	477
482	444	476
483	445	475
484	446	473
485	446	472
486	447	471
487	447	469
488	448	468
489	449	467
490	449	466
491	450	464
492	450	463
493	451	462
494	452	461
495	452	460
496	453	458
497	453	457
498	454	456
499	455	455
500	455	453
501	456	452
502	456	451
503	457	450
504	457	448
505	458	447
506	459	446
507	459	445
508	460	443
509	460	442
510	461	441
511	461	440
512	462	439
513	463	437
514	463	436
515	464	435
516	464	434
517	465	433
518	466	432
519	467	431
520	467	430
521	468	428
522	468	427
523	469	426
524	470	425
525	470	424
526	471	423
527	472	421
528	472	420
529	473	419
530	473	418
531	474	417
532	475	416
533	475	415
534	476	413
535	476	412
536	477	411
537	477	410
538	478	409
539	479	408
540	479	406
541	480	405
542	481	404
543	481	403
544	482	402
545	482	401
546	483	400
547	484	399
548	484	398
549	485	396
550	485	395
551	486	394
552	486	393
553	487	392
554	488	391
555	488	390
556	489	389
557	489	388
558	490	386
559	491	385
560	491	384
561	492	383
562	492	382
563	493	381
564	494	380
565	494	379
566	495	378
567	496	377
568	496	376
569	497	375
570	497	374
571	498	372
572	499	371
573	499	370
574	500	369
575	500	368
576	501	367
577	501	366
578	502	365
579	503	364
580	503	363
581	504	362
582	504	361
583	505	360
584	506	358
585	506	357
586	507	356
587	507	355
588	508	354
589	508	353
590	509	352
591	510	351
592	510	350
593	511	349
594	512	348
595	512	347
596	513	346
597	513	345
598	514	344
599	515	343
600	515	342
601	516	341
602	516	340
603	517	339
604	517	338
605	518	337
606	519	336
607	519	335
608	520	334
609	520	333
610	521	331
611	522	331
612	522	330
613	523	328
614	523	327
615	524	327
616	525	326
617	525	325
618	526	324
619	527	323
620	527	322
621	528	321
622	528	320
623	529	319
624	530	318
625	530	317
626	531	316
627	531	315
628	532	314
629	533	313
630	533	312
631	534	311
632	534	310
633	535	309
634	536	308
635	536	307
636	537	306
637	537	305
638	538	304
639	538	303
640	539	302
641	540	301
642	540	300
643	541	299
644	542	298
645	542	297
646	543	296
647	543	295
648	544	294
649	545	293
650	545	292
651	546	291
652	546	290
653	547	289
654	548	288
655	548	287
656	549	286
657	549	285
658	550	284
659	551	283
660	551	282
661	552	281
662	552	281
663	553	280
664	554	279
665	554	278
666	555	277
667	556	276
668	556	275
669	557	274
670	557	273
671	558	272
672	559	271
673	559	270
674	560	269
675	560	268
676	561	267
677	561	266
678	562	265
679	563	264
680	563	264
681	564	263
682	564	262
683	565	261
684	566	260
685	566	259
686	567	258
687	567	257
688	568	256
689	569	255
690	569	254
691	570	253
692	571	253
693	571	252
694	572	251
695	573	250
696	573	249
697	574	248
698	574	247
699	575	246
700	576	245
701	576	244
702	577	243
703	577	242
704	578	242
705	579	241
706	579	240
707	580	239
708	580	238
709	581	237
710	581	236
711	582	235
712	583	234
713	583	233
714	584	232
715	585	232
716	585	231
717	586	230
718	586	229
719	587	228
720	587	227
721	588	226
722	589	225
723	589	224
724	590	223
725	590	223
726	591	222
727	592	221
728	592	220
729	593	219
730	593	218
731	594	217
732	595	216
733	595	215
734	596	214
735	596	214
736	597	213
737	598	212
738	598	211
739	599	210
740	599	209
741	600	208
742	601	207
743	601	207
744	602	206
745	602	205
746	603	204
747	604	203
748	604	202
749	605	201
750	605	200
751	606	200
752	607	199
753	607	198
754	608	197
755	608	196
756	609	195
757	609	194
758	610	193
759	611	193
760	611	192
761	612	191
762	613	190
763	613	189
764	614	188
765	614	187
766	615	187
767	616	186
768	616	185
769	617	184
770	617	183
771	618	182
772	619	181
773	619	180
774	620	180
775	620	179
776	621	178
777	622	177
778	622	176
779	623	175
780	623	174
781	624	174
782	624	173
783	625	172
784	626	171
785	626	170
786	627	169
787	628	168
788	628	168
789	629	167
790	629	166
791	630	165
792	631	164
793	631	163
794	632	163
795	632	162
796	633	161
797	634	160
798	634	159
799	635	158
800	635	157
801	636	157
802	637	156
803	637	155
804	638	154
805	638	153
806	639	152
807	640	152
808	640	151
809	641	150
810	641	149
811	642	148
812	643	147
813	643	147
814	644	146
815	644	145
816	645	144
817	646	143
818	646	142
819	647	142
820	647	141
821	648	140
822	649	139
823	649	138
824	650	137
825	650	137
826	651	136
827	652	135
828	652	134
829	653	133
830	653	132
831	654	132
832	654	131
833	655	130
834	656	129
835	656	128
836	657	128
837	658	127
838	658	126
839	659	125
840	660	124
841	660	124
842	661	123
843	662	122
844	662	121
845	663	120
846	663	119
847	664	119
848	665	118
849	665	117
850	666	116
851	666	115
852	667	115
853	668	114
854	668	113
855	669	112
856	669	111
857	670	110
858	670	110
859	671	109
860	672	108
861	673	107
862	673	106
863	674	106
864	674	105
865	675	104
866	676	103
867	676	102
868	677	102
869	677	101
870	678	100
871	678	99
872	679	98
873	680	98
874	680	97
875	681	96
876	681	95
877	682	94
878	683	94
879	683	93
880	684	92
881	684	91
882	685	90
883	686	90
884	686	89
885	687	88
886	687	87
887	688	86
888	689	86
889	689	85
890	690	84
891	690	83
892	691	82
893	692	82
894	692	81
895	693	80
896	693	79
897	694	78
898	695	78
899	695	77
900	696	76
901	696	75
902	697	74
903	698	74
904	698	73
905	699	72
906	699	71
907	700	70
908	701	70
909	701	69
910	702	68
911	703	67
912	703	67
913	704	66
914	704	65
915	705	64
916	706	63
917	706	63
918	707	62
919	707	61
920	708	60
921	708	59
922	709	59
923	710	58
924	710	57
925	711	56
926	711	56
927	712	55
928	713	54
929	713	53
930	714	52
931	714	52
932	715	51
933	716	50
934	716	49
935	717	49
936	717	48
937	718	47
938	719	46
939	719	45
940	720	45
941	720	44
942	721	43
943	722	42
944	722	42
945	723	41
946	723	40
947	724	39
948	724	38
949	725	38
950	726	37
951	726	36
952	727	35
953	727	35
954	728	34
955	729	33
956	729	32
957	730	32
958	731	31
959	731	30
960	732	29
961	732	28
962	733	28
963	734	27
964	734	26
965	735	25
966	735	25
967	736	24
968	736	23
969	737	22
970	738	22
971	738	21
972	739	20
973	739	19
974	740	18
975	741	18
976	741	17
977	742	16
978	742	15
979	743	15
980	744	14
981	744	13
982	745	12
983	746	12
984	746	11
985	747	10
986	747	9
987	748	9
988	749	8
989	749	7
990	750	6
991	751	6
992	751	5
993	752	4
994	752	3
995	753	3
996	753	2
997	754	1
998	755	0
999	755	0
